Opérateur,Statut,Année,Valeur
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - REUNION,EPA,2022,315
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - REUNION,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - STRASBOURG,EPA,2021,601
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - STRASBOURG,EPA,2022,582
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - STRASBOURG,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - TOULOUSE,EPA,2021,697
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - TOULOUSE,EPA,2022,725
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - TOULOUSE,EPA,2023,0
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - VERSAILLES,EPA,2021,726
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - VERSAILLES,EPA,2022,720
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES - VERSAILLES,EPA,2023,0
CENTRE TECHNIQUE DU LIVRE DE L'ENSEIGNEMENT SUPERIEUR (CTLES),EPA,2021,513
CENTRE TECHNIQUE DU LIVRE DE L'ENSEIGNEMENT SUPERIEUR (CTLES),EPA,2022,530
CENTRE TECHNIQUE DU LIVRE DE L'ENSEIGNEMENT SUPERIEUR (CTLES),EPA,2023,532
CHANCELLERIE DES UNIVERSITES DE PARIS,EPA,2021,762
CHANCELLERIE DES UNIVERSITES DE PARIS,EPA,2022,726
CHANCELLERIE DES UNIVERSITES DE PARIS,EPA,2023,803
CINEMATHEQUE FRANCAISE,Association,2021,876
CINEMATHEQUE FRANCAISE,Association,2022,903
CINEMATHEQUE FRANCAISE,Association,2023,1000
CITE DE L'ARCHITECTURE ET DU PATRIMOINE,EPIC,2021,839
CITE DE L'ARCHITECTURE ET DU PATRIMOINE,EPIC,2022,975
CITE DE L'ARCHITECTURE ET DU PATRIMOINE,EPIC,2023,844
CLERMONT AUVERGNE INP,EPSCP,2021,867
CLERMONT AUVERGNE INP,EPSCP,2022,903
CLERMONT AUVERGNE INP,EPSCP,2023,920
COLLEGE DE FRANCE,EPSCP,2021,1199
COLLEGE DE FRANCE,EPSCP,2022,1194
COLLEGE DE FRANCE,EPSCP,2023,1255
COMEDIE FRANCAISE,EPIC,2021,1023
COMEDIE FRANCAISE,EPIC,2022,1156
COMEDIE FRANCAISE,EPIC,2023,1183
COMMISSARIAT A L' ENERGIE  ATOMIQUE ET AUX ENERGIES ALTERNATIVES,EPIC,2021,1849
COMMISSARIAT A L' ENERGIE  ATOMIQUE ET AUX ENERGIES ALTERNATIVES,EPIC,2022,1940
COMMISSARIAT A L' ENERGIE  ATOMIQUE ET AUX ENERGIES ALTERNATIVES,EPIC,2023,1980
COMMUNAUTE D'UNIVERSITES ET D'ETABLISSEMENTS UNIVERSITE FEDERALE DE TOULOUSE MIDI -PYRENEES,EPSCP,2021,702
COMMUNAUTE D'UNIVERSITES ET D'ETABLISSEMENTS UNIVERSITE FEDERALE DE TOULOUSE MIDI -PYRENEES,EPSCP,2022,754
COMMUNAUTE D'UNIVERSITES ET D'ETABLISSEMENTS UNIVERSITE FEDERALE DE TOULOUSE MIDI -PYRENEES,EPSCP,2023,781
COMMUNAUTE D'UNIVERSITES ET ETABLISSEMENTS NORMANDIE UNIVERSITE - établissement expérimental,EPSCP,2021,364
COMMUNAUTE D'UNIVERSITES ET ETABLISSEMENTS NORMANDIE UNIVERSITE - établissement expérimental,EPSCP,2022,378
COMMUNAUTE D'UNIVERSITES ET ETABLISSEMENTS NORMANDIE UNIVERSITE - établissement expérimental,EPSCP,2023,427
expérimental,EPSCP,2021,375
expérimental,EPSCP,2022,415
expérimental,EPSCP,2023,504
COMMUNAUTE D'UNIVERSITES ET ETABLISSEMENTS UNIVERSITE DE LYON,EPSCP,2021,688
COMMUNAUTE D'UNIVERSITES ET ETABLISSEMENTS UNIVERSITE DE LYON,EPSCP,2022,711
COMMUNAUTE D'UNIVERSITES ET ETABLISSEMENTS UNIVERSITE DE LYON,EPSCP,2023,785
CONSEIL NATIONAL DES ACTIVITES PRIVEES DE SECURITE,EPA,2021,984
CONSEIL NATIONAL DES ACTIVITES PRIVEES DE SECURITE,EPA,2022,1018
CONSEIL NATIONAL DES ACTIVITES PRIVEES DE SECURITE,EPA,2023,924
CONSEIL NATIONAL DES COMMUNES COMPAGNON DE LA LIBERATION,EPA,2021,563
CONSEIL NATIONAL DES COMMUNES COMPAGNON DE LA LIBERATION,EPA,2022,630
CONSEIL NATIONAL DES COMMUNES COMPAGNON DE LA LIBERATION,EPA,2023,630
CONSERVATOIRE DE L'ESPACE LITTORAL ET DES RIVAGES LACUSTRES,EPA,2021,878
CONSERVATOIRE DE L'ESPACE LITTORAL ET DES RIVAGES LACUSTRES,EPA,2022,970
CONSERVATOIRE DE L'ESPACE LITTORAL ET DES RIVAGES LACUSTRES,EPA,2023,939
CONSERVATOIRE NATIONAL DES ARTS ET METIERS,EPSCP,2021,1071
CONSERVATOIRE NATIONAL DES ARTS ET METIERS,EPSCP,2022,1042
CONSERVATOIRE NATIONAL DES ARTS ET METIERS,EPSCP,2023,1138
CONSERVATOIRE NATIONAL SUPERIEUR D'ART DRAMATIQUE,EPA,2021,544
CONSERVATOIRE NATIONAL SUPERIEUR D'ART DRAMATIQUE,EPA,2022,562
CONSERVATOIRE NATIONAL SUPERIEUR D'ART DRAMATIQUE,EPA,2023,539
CONSERVATOIRE NATIONAL SUPERIEUR DE MUSIQUE ET DE DANSE DE LYON,EPA,2021,625
CONSERVATOIRE NATIONAL SUPERIEUR DE MUSIQUE ET DE DANSE DE LYON,EPA,2022,634
CONSERVATOIRE NATIONAL SUPERIEUR DE MUSIQUE ET DE DANSE DE LYON,EPA,2023,667
CONSERVATOIRE NATIONAL SUPERIEUR DE MUSIQUE ET DE DANSE DE PARIS,EPA,2021,752
CONSERVATOIRE NATIONAL SUPERIEUR DE MUSIQUE ET DE DANSE DE PARIS,EPA,2022,799
CONSERVATOIRE NATIONAL SUPERIEUR DE MUSIQUE ET DE DANSE DE PARIS,EPA,2023,830
CY CERGY PARIS UNIVERSITE - établissement public expérimental,EPSCP,2021,1162
CY CERGY PARIS UNIVERSITE - établissement public expérimental,EPSCP,2022,1191
CY CERGY PARIS UNIVERSITE - établissement public expérimental,EPSCP,2023,1208
ECOLE CENTRALE DE LYON,EPSCP,2021,912
ECOLE CENTRALE DE LYON,EPSCP,2022,930
ECOLE CENTRALE DE LYON,EPSCP,2023,951
ECOLE CENTRALE DE MARSEILLE,EPSCP,2021,904
ECOLE CENTRALE DE MARSEILLE,EPSCP,2022,901
ECOLE CENTRALE DE MARSEILLE,EPSCP,2023,915
ECOLE CENTRALE DE NANTES,EPSCP,2021,961
ECOLE CENTRALE DE NANTES,EPSCP,2022,1002
ECOLE CENTRALE DE NANTES,EPSCP,2023,1044
ECOLE DE L'AIR ET DE L'ESPACE,EPSCP,2021,1531
ECOLE DE L'AIR ET DE L'ESPACE,EPSCP,2022,1553
ECOLE DE L'AIR ET DE L'ESPACE,EPSCP,2023,1593
ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES,EPSCP,2021,922
ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES,EPSCP,2022,946
ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES,EPSCP,2023,915
ECOLE DU LOUVRE,EPA,2021,614
ECOLE DU LOUVRE,EPA,2022,648
ECOLE DU LOUVRE,EPA,2023,668
ECOLE NATIONALE D'ADMINISTRATION PENITENTIAIRE,EPA,2021,719
ECOLE NATIONALE D'ADMINISTRATION PENITENTIAIRE,EPA,2022,700
ECOLE NATIONALE D'ADMINISTRATION PENITENTIAIRE,EPA,2023,792
ECOLE NATIONALE D'INGENIEURS DE BREST,EPA,2021,650
ECOLE NATIONALE D'INGENIEURS DE BREST,EPA,2022,668
ECOLE NATIONALE D'INGENIEURS DE BREST,EPA,2023,683
ECOLE NATIONALE DE L'AVIATION CIVILE,EPSCP,2021,1310
ECOLE NATIONALE DE L'AVIATION CIVILE,EPSCP,2022,1304
ECOLE NATIONALE DE L'AVIATION CIVILE,EPSCP,2023,1383
ECOLE NATIONALE DE LA MAGISTRATURE,EPA,2021,1067
ECOLE NATIONALE DE LA MAGISTRATURE,EPA,2022,1080
ECOLE NATIONALE DE LA MAGISTRATURE,EPA,2023,1117
ECOLE NATIONALE DE VOILE ET DES SPORTS NAUTIQUES,EPA,2021,558
ECOLE NATIONALE DE VOILE ET DES SPORTS NAUTIQUES,EPA,2022,583
ECOLE NATIONALE DE VOILE ET DES SPORTS NAUTIQUES,EPA,2023,626
ECOLE NATIONALE DES CHARTES,EPSCP,2021,776
ECOLE NATIONALE DES CHARTES,EPSCP,2022,794
ECOLE NATIONALE DES CHARTES,EPSCP,2023,834
ECOLE NATIONALE DES PONTS ET CHAUSSEES,EPSCP,2021,1260
ECOLE NATIONALE DES PONTS ET CHAUSSEES,EPSCP,2022,1485
ECOLE NATIONALE DES PONTS ET CHAUSSEES,EPSCP,2023,1312
ECOLE NATIONALE DES SPORTS DE MONTAGNE,EPA,2021,649
ECOLE NATIONALE DES SPORTS DE MONTAGNE,EPA,2022,652
ECOLE NATIONALE DES SPORTS DE MONTAGNE,EPA,2023,686
ECOLE NATIONALE DES TRAVAUX PUBLICS DE L'ETAT,EPSCP,2021,930
ECOLE NATIONALE DES TRAVAUX PUBLICS DE L'ETAT,EPSCP,2022,1183
ECOLE NATIONALE DES TRAVAUX PUBLICS DE L'ETAT,EPSCP,2023,996
ECOLE NATIONALE DU GENIE DE L'EAU ET DE L'ENVIRONNEMENT DE STRASBOURG,EPA,2021,1471
ECOLE NATIONALE DU GENIE DE L'EAU ET DE L'ENVIRONNEMENT DE STRASBOURG,EPA,2022,1404
ECOLE NATIONALE DU GENIE DE L'EAU ET DE L'ENVIRONNEMENT DE STRASBOURG,EPA,2023,838
ECOLE NATIONALE SUPERIEURE BEAUX -ARTS,EPA,2021,788
ECOLE NATIONALE SUPERIEURE BEAUX -ARTS,EPA,2022,740
ECOLE NATIONALE SUPERIEURE BEAUX -ARTS,EPA,2023,784
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE BRETAGNE,EPA,2021,621
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE BRETAGNE,EPA,2022,630
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE BRETAGNE,EPA,2023,663
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE CLERMONT -FERRAND,EPA,2021,574
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE CLERMONT -FERRAND,EPA,2022,596
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE CLERMONT -FERRAND,EPA,2023,609
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE GRENOBLE,EPA,2021,657
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE GRENOBLE,EPA,2022,658
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE GRENOBLE,EPA,2023,668
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE LYON,EPA,2021,604
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE LYON,EPA,2022,647
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE LYON,EPA,2023,680
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE MARNE -VALLEE,EPA,2021,620
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE MARNE -VALLEE,EPA,2022,621
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE MARNE -VALLEE,EPA,2023,628
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE MARSEILLE,EPA,2021,591
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE MARSEILLE,EPA,2022,623
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE MARSEILLE,EPA,2023,667
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE MONTPELLIER,EPA,2021,596
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE MONTPELLIER,EPA,2022,661
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE MONTPELLIER,EPA,2023,706
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE NANCY,EPA,2021,567
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE NANCY,EPA,2022,591
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE NANCY,EPA,2023,606
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE NANTES,EPA,2021,602
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE NANTES,EPA,2022,639
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE NANTES,EPA,2023,713
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE NORMANDIE,EPA,2021,574
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE NORMANDIE,EPA,2022,596
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE NORMANDIE,EPA,2023,634
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE PARIS BELLEVILLE,EPA,2021,733
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE PARIS BELLEVILLE,EPA,2022,711
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE PARIS BELLEVILLE,EPA,2023,836
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE  DE PARIS LA VILLETTE,EPA,2021,680
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE  DE PARIS LA VILLETTE,EPA,2022,753
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE  DE PARIS LA VILLETTE,EPA,2023,793
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE PARIS MALAQUAIS,EPA,2021,672
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE PARIS MALAQUAIS,EPA,2022,651
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE PARIS MALAQUAIS,EPA,2023,708
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE PARIS VAL DE SEINE,EPA,2021,672
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE PARIS VAL DE SEINE,EPA,2022,669
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE PARIS VAL DE SEINE,EPA,2023,712
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE ST -ETIENNE,EPA,2021,499
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE ST -ETIENNE,EPA,2022,540
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE ST -ETIENNE,EPA,2023,554
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE STRASBOURG,EPA,2021,615
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE STRASBOURG,EPA,2022,663
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE STRASBOURG,EPA,2023,668
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE TOULOUSE,EPA,2021,640
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE TOULOUSE,EPA,2022,671
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE TOULOUSE,EPA,2023,679
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE VERSAILLES,EPA,2021,602
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE VERSAILLES,EPA,2022,626
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE DE VERSAILLES,EPA,2023,638
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE  ET DE PAYSAGE DE BORDEAUX,EPA,2021,653
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE  ET DE PAYSAGE DE BORDEAUX,EPA,2022,684
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE  ET DE PAYSAGE DE BORDEAUX,EPA,2023,684
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE ET DE PAYSAGE DE LILLE,EPA,2021,633
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE ET DE PAYSAGE DE LILLE,EPA,2022,637
ECOLE NATIONALE SUPERIEURE D ARCHITECTURE ET DE PAYSAGE DE LILLE,EPA,2023,685
ECOLE NATIONALE SUPERIEURE D' INFORMATIQUE  POUR L' INDUSTRIE ET L' ENTREPRISE,EPA,2021,733
ECOLE NATIONALE SUPERIEURE D' INFORMATIQUE  POUR L' INDUSTRIE ET L' ENTREPRISE,EPA,2022,781
ECOLE NATIONALE SUPERIEURE D' INFORMATIQUE  POUR L' INDUSTRIE ET L' ENTREPRISE,EPA,2023,782
ECOLE NATIONALE SUPERIEURE D'ART DE BOURGES,EPA,2021,527
ECOLE NATIONALE SUPERIEURE D'ART DE BOURGES,EPA,2022,786
ECOLE NATIONALE SUPERIEURE D'ART DE BOURGES,EPA,2023,566
ECOLE NATIONALE SUPERIEURE D'ART DE CERGY,EPA,2021,595
ECOLE NATIONALE SUPERIEURE D'ART DE CERGY,EPA,2022,592
ECOLE NATIONALE SUPERIEURE D'ART DE CERGY,EPA,2023,564
ECOLE NATIONALE SUPERIEURE D'ART DE DIJON,EPA,2021,514
ECOLE NATIONALE SUPERIEURE D'ART DE DIJON,EPA,2022,569
ECOLE NATIONALE SUPERIEURE D'ART DE DIJON,EPA,2023,507
ECOLE NATIONALE SUPERIEURE D'ART DE LIMOGES -AUBUSSON,EPA,2021,468
ECOLE NATIONALE SUPERIEURE D'ART DE LIMOGES -AUBUSSON,EPA,2022,525
ECOLE NATIONALE SUPERIEURE D'ART DE LIMOGES -AUBUSSON,EPA,2023,557
ECOLE NATIONALE SUPERIEURE D'ART DE NANCY,EPA,2021,557
ECOLE NATIONALE SUPERIEURE D'ART DE NANCY,EPA,2022,579
ECOLE NATIONALE SUPERIEURE D'ART DE NANCY,EPA,2023,598
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE MONTPELLIER,EPA,2021,813
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE MONTPELLIER,EPA,2022,864
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE MONTPELLIER,EPA,2023,899
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE PARIS,EPSCP,2021,871
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE PARIS,EPSCP,2022,798
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE PARIS,EPSCP,2023,887
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE RENNES,EPA,2021,774
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE RENNES,EPA,2022,856
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE RENNES,EPA,2023,811
ECOLE NATIONALE SUPERIEURE DE CREATION INDUSTRIELLE,EPIC,2021,673
ECOLE NATIONALE SUPERIEURE DE CREATION INDUSTRIELLE,EPIC,2022,700
ECOLE NATIONALE SUPERIEURE DE CREATION INDUSTRIELLE,EPIC,2023,676
ECOLE NATIONALE SUPERIEURE DE FORMATION DE L'ENSEIGNEMENT AGRICOLE,EPA,2021,1222
ECOLE NATIONALE SUPERIEURE DE FORMATION DE L'ENSEIGNEMENT AGRICOLE,EPA,2022,1323
ECOLE NATIONALE SUPERIEURE DE FORMATION DE L'ENSEIGNEMENT AGRICOLE,EPA,2023,806
ECOLE NATIONALE SUPERIEURE DE L'ELECTRONIQUE ET DE SES APPLICATIONS,EPA,2021,703
ECOLE NATIONALE SUPERIEURE DE L'ELECTRONIQUE ET DE SES APPLICATIONS,EPA,2022,717
ECOLE NATIONALE SUPERIEURE DE L'ELECTRONIQUE ET DE SES APPLICATIONS,EPA,2023,772
ECOLE NATIONALE SUPERIEURE DE LA PHOTOGRAPHIE,EPA,2021,490
ECOLE NATIONALE SUPERIEURE DE LA PHOTOGRAPHIE,EPA,2022,492
ECOLE NATIONALE SUPERIEURE DE LA PHOTOGRAPHIE,EPA,2023,502
ECOLE NATIONALE SUPERIEURE DE LA POLICE,EPA,2021,1696
ECOLE NATIONALE SUPERIEURE DE LA POLICE,EPA,2022,1634
ECOLE NATIONALE SUPERIEURE DE LA POLICE,EPA,2023,833
ECOLE NATIONALE SUPERIEURE DE MECANIQUE ET DES MICROTECHNIQUES,EPSCP,2021,765
ECOLE NATIONALE SUPERIEURE DE MECANIQUE ET DES MICROTECHNIQUES,EPSCP,2022,888
ECOLE NATIONALE SUPERIEURE DE MECANIQUE ET DES MICROTECHNIQUES,EPSCP,2023,908
ECOLE NATIONALE SUPERIEURE DE TECHNIQUES AVANCEES DE BRETAGNE,EPSCP,2021,786
ECOLE NATIONALE SUPERIEURE DE TECHNIQUES AVANCEES DE BRETAGNE,EPSCP,2022,794
ECOLE NATIONALE SUPERIEURE DE TECHNIQUES AVANCEES DE BRETAGNE,EPSCP,2023,843
ECOLE NATIONALE SUPERIEURE DE TECHNIQUES AVANCEES,EPSCP,2021,977
ECOLE NATIONALE SUPERIEURE DE TECHNIQUES AVANCEES,EPSCP,2022,981
ECOLE NATIONALE SUPERIEURE DE TECHNIQUES AVANCEES,EPSCP,2023,1093
ECOLE NATIONALE SUPERIEURE DES ARTS DECORATIFS,EPA,2021,739
ECOLE NATIONALE SUPERIEURE DES ARTS DECORATIFS,EPA,2022,774
ECOLE NATIONALE SUPERIEURE DES ARTS DECORATIFS,EPA,2023,783
ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES,EPSCP,2021,714
ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES,EPSCP,2022,760
ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES,EPSCP,2023,744
ECOLE NATIONALE SUPERIEURE DES ARTS ET METIERS (ENSAM),EPSCP,2021,1194
ECOLE NATIONALE SUPERIEURE DES ARTS ET METIERS (ENSAM),EPSCP,2022,1182
ECOLE NATIONALE SUPERIEURE DES ARTS ET METIERS (ENSAM),EPSCP,2023,1138
ECOLE NATIONALE SUPERIEURE DES ARTS ET TECHNIQUES DU THEATRE,EPA,2021,586
ECOLE NATIONALE SUPERIEURE DES ARTS ET TECHNIQUES DU THEATRE,EPA,2022,633
ECOLE NATIONALE SUPERIEURE DES ARTS ET TECHNIQUES DU THEATRE,EPA,2023,643
ECOLE NATIONALE SUPERIEURE DES SCIENCES AGRONOMIQUES DE BORDEAUX AQUITAINE BORDEAUX SCIENCES AGRO,EPA,2021,1459
ECOLE NATIONALE SUPERIEURE DES SCIENCES AGRONOMIQUES DE BORDEAUX AQUITAINE BORDEAUX SCIENCES AGRO,EPA,2022,1508
ECOLE NATIONALE SUPERIEURE DES SCIENCES AGRONOMIQUES DE BORDEAUX AQUITAINE BORDEAUX SCIENCES AGRO,EPA,2023,881
ECOLE NATIONALE SUPERIEURE DES SCIENCES DE L'INFORMATION ET DES BIBLIOTHEQUES,EPSCP,2021,701
ECOLE NATIONALE SUPERIEURE DES SCIENCES DE L'INFORMATION ET DES BIBLIOTHEQUES,EPSCP,2022,723
ECOLE NATIONALE SUPERIEURE DES SCIENCES DE L'INFORMATION ET DES BIBLIOTHEQUES,EPSCP,2023,731
ECOLE NATIONALE SUPERIEURE DU PAYSAGE,EPA,2021,1035
ECOLE NATIONALE SUPERIEURE DU PAYSAGE,EPA,2022,1185
ECOLE NATIONALE SUPERIEURE DU PAYSAGE,EPA,2023,754
ECOLE NATIONALE SUPERIEURE INGENIEURS DE CAEN,EPSCP,2021,811
ECOLE NATIONALE SUPERIEURE INGENIEURS DE CAEN,EPSCP,2022,845
ECOLE NATIONALE SUPERIEURE INGENIEURS DE CAEN,EPSCP,2023,865
ECOLE NATIONALE SUPERIEURE LOUIS LUMIERE,EPA,2021,659
ECOLE NATIONALE SUPERIEURE LOUIS LUMIERE,EPA,2022,701
ECOLE NATIONALE SUPERIEURE LOUIS LUMIERE,EPA,2023,731
ECOLE NATIONALE SUPERIEURE MARITIME,EPSCP,2021,876
ECOLE NATIONALE SUPERIEURE MARITIME,EPSCP,2022,939
ECOLE NATIONALE SUPERIEURE MARITIME,EPSCP,2023,1372
ECOLE NATIONALE SUPERIEURE MECANIQUE ET AEROTECHNIQUE,EPSCP,2021,805
ECOLE NATIONALE SUPERIEURE MECANIQUE ET AEROTECHNIQUE,EPSCP,2022,809
ECOLE NATIONALE SUPERIEURE MECANIQUE ET AEROTECHNIQUE,EPSCP,2023,855
ECOLE NATIONALE SUPRIEURE DES METIERS DE L'IMAGE ET DU SON,EPIC,2021,705
ECOLE NATIONALE SUPRIEURE DES METIERS DE L'IMAGE ET DU SON,EPIC,2022,773
ECOLE NATIONALE SUPRIEURE DES METIERS DE L'IMAGE ET DU SON,EPIC,2023,779
ECOLE NATIONALE VETERINAIRE AGROALIMENTAIRE ET DE L'ALIMENTATION NANTES ATLANTIQUE,EPSCP,2021,1529
ECOLE NATIONALE VETERINAIRE AGROALIMENTAIRE ET DE L'ALIMENTATION NANTES ATLANTIQUE,EPSCP,2022,1603
ECOLE NATIONALE VETERINAIRE AGROALIMENTAIRE ET DE L'ALIMENTATION NANTES ATLANTIQUE,EPSCP,2023,942
