Opérateur,Statut,Année,Valeur
ECOLE NATIONALE VETERINAIRE D'ALFORT,EPA,2021,1503
ECOLE NATIONALE VETERINAIRE D'ALFORT,EPA,2022,1567
ECOLE NATIONALE VETERINAIRE D'ALFORT,EPA,2023,915
ECOLE NATIONALE VETERINAIRE DE TOULOUSE,EPA,2021,1472
ECOLE NATIONALE VETERINAIRE DE TOULOUSE,EPA,2022,1554
ECOLE NATIONALE VETERINAIRE DE TOULOUSE,EPA,2023,913
ECOLE NAVALE,EPSCP,2021,1567
ECOLE NAVALE,EPSCP,2022,1558
ECOLE NAVALE,EPSCP,2023,1764
ECOLE NORMALE SUPERIEURE DE LYON,EPSCP,2021,913
ECOLE NORMALE SUPERIEURE DE LYON,EPSCP,2022,902
ECOLE NORMALE SUPERIEURE DE LYON,EPSCP,2023,951
ECOLE NORMALE SUPERIEURE DE RENNES,EPSCP,2021,770
ECOLE NORMALE SUPERIEURE DE RENNES,EPSCP,2022,810
ECOLE NORMALE SUPERIEURE DE RENNES,EPSCP,2023,811
ECOLE NORMALE SUPERIEURE PARIS -SACLAY,EPSCP,2021,924
ECOLE NORMALE SUPERIEURE PARIS -SACLAY,EPSCP,2022,910
ECOLE NORMALE SUPERIEURE PARIS -SACLAY,EPSCP,2023,955
ECOLE NORMALE SUPERIEURE,EPSCP,2021,1002
ECOLE NORMALE SUPERIEURE,EPSCP,2022,1050
ECOLE NORMALE SUPERIEURE,EPSCP,2023,1090
ECOLE POLYTECHNIQUE,EPSCP,2021,1539
ECOLE POLYTECHNIQUE,EPSCP,2022,1350
ECOLE POLYTECHNIQUE,EPSCP,2023,1314
ECOLE PRATIQUE DES HAUTES ETUDES,EPSCP,2021,892
ECOLE PRATIQUE DES HAUTES ETUDES,EPSCP,2022,911
ECOLE PRATIQUE DES HAUTES ETUDES,EPSCP,2023,941
ENSEMBLE INTERCONTEMPORAIN,Association,2021,749
ENSEMBLE INTERCONTEMPORAIN,Association,2022,799
ENSEMBLE INTERCONTEMPORAIN,Association,2023,724
EPA VILLA ARSON,EPA,2021,538
EPA VILLA ARSON,EPA,2022,563
EPA VILLA ARSON,EPA,2023,602
ETABLISSEMENT DE COMMUNICATION ET DE PRODUCTION AUDIOVISUELLE DE LA DEFENSE,EPA,2021,854
ETABLISSEMENT DE COMMUNICATION ET DE PRODUCTION AUDIOVISUELLE DE LA DEFENSE,EPA,2022,837
ETABLISSEMENT DE COMMUNICATION ET DE PRODUCTION AUDIOVISUELLE DE LA DEFENSE,EPA,2023,0
ETABLISSEMENT NATIONAL DES INVALIDES DE LA MARINE,EPA,2021,927
ETABLISSEMENT NATIONAL DES INVALIDES DE LA MARINE,EPA,2022,917
ETABLISSEMENT NATIONAL DES INVALIDES DE LA MARINE,EPA,2023,920
ETABLISSEMENT NATIONAL DES PRODUITS DE L'AGRICULTURE ET DE LA MER FRANCEAGRIMER,EPA,2021,1112
ETABLISSEMENT NATIONAL DES PRODUITS DE L'AGRICULTURE ET DE LA MER FRANCEAGRIMER,EPA,2022,1203
ETABLISSEMENT NATIONAL DES PRODUITS DE L'AGRICULTURE ET DE LA MER FRANCEAGRIMER,EPA,2023,1217
ETABLISSEMENT POUR L'INSERTION DANS L'EMPLOI,EPA,2021,904
ETABLISSEMENT POUR L'INSERTION DANS L'EMPLOI,EPA,2022,836
ETABLISSEMENT POUR L'INSERTION DANS L'EMPLOI,EPA,2023,1111
ETABLISSEMENT PUBLIC CAMPUS CONDORCET,EPA,2021,494
ETABLISSEMENT PUBLIC CAMPUS CONDORCET,EPA,2022,0
ETABLISSEMENT PUBLIC CAMPUS CONDORCET,EPA,2023,469
PARIS,EPA,2021,918
PARIS,EPA,2022,876
PARIS,EPA,2023,952
ETABLISSEMENT PUBLIC D'AMENAGEMENT UNIVERSITAIRE DE LA REGION ILE DE FRANCE,EPA,2021,1200
ETABLISSEMENT PUBLIC D'AMENAGEMENT UNIVERSITAIRE DE LA REGION ILE DE FRANCE,EPA,2022,1185
ETABLISSEMENT PUBLIC D'AMENAGEMENT UNIVERSITAIRE DE LA REGION ILE DE FRANCE,EPA,2023,0
ETABLISSEMENT PUBLIC DE LA CITE DE LA CERAMIQUE -SEVRES ET LIMOGES,EPA,2021,621
ETABLISSEMENT PUBLIC DE LA CITE DE LA CERAMIQUE -SEVRES ET LIMOGES,EPA,2022,716
ETABLISSEMENT PUBLIC DE LA CITE DE LA CERAMIQUE -SEVRES ET LIMOGES,EPA,2023,721
ETABLISSEMENT PUBLIC DE LA CITE DE LA MUSIQUE - PHILHARMONIE DE PARIS,EPIC,2021,1321
ETABLISSEMENT PUBLIC DE LA CITE DE LA MUSIQUE - PHILHARMONIE DE PARIS,EPIC,2022,1291
ETABLISSEMENT PUBLIC DE LA CITE DE LA MUSIQUE - PHILHARMONIE DE PARIS,EPIC,2023,1314
ETABLISSEMENT PUBLIC DE LA REUNION DES MUSEES NATIONAUX ET DU GRAND PALAIS DES CHAMPS -ELYSEES,EPIC,2021,1336
ETABLISSEMENT PUBLIC DE LA REUNION DES MUSEES NATIONAUX ET DU GRAND PALAIS DES CHAMPS -ELYSEES,EPIC,2022,1344
ETABLISSEMENT PUBLIC DE LA REUNION DES MUSEES NATIONAUX ET DU GRAND PALAIS DES CHAMPS -ELYSEES,EPIC,2023,1225
ETABLISSEMENT PUBLIC DE SECURITE FERROVIAIRE,EPA,2021,1133
ETABLISSEMENT PUBLIC DE SECURITE FERROVIAIRE,EPA,2022,1249
ETABLISSEMENT PUBLIC DE SECURITE FERROVIAIRE,EPA,2023,1250
ETABLISSEMENT PUBLIC DU CHATEAU DE FONTAINEBLEAU,EPA,2021,720
ETABLISSEMENT PUBLIC DU CHATEAU DE FONTAINEBLEAU,EPA,2022,811
ETABLISSEMENT PUBLIC DU CHATEAU DE FONTAINEBLEAU,EPA,2023,873
ETABLISSEMENT PUBLIC DU MONT -SAINT -MICHEL,EPIC,2021,134
ETABLISSEMENT PUBLIC DU MONT -SAINT -MICHEL,EPIC,2022,569
ETABLISSEMENT PUBLIC DU MONT -SAINT -MICHEL,EPIC,2023,633
ETABLISSEMENT PUBLIC DU MUSEE D'ORSAY ET DU MUSEE DE L'ORANGERIE,EPA,2021,916
ETABLISSEMENT PUBLIC DU MUSEE D'ORSAY ET DU MUSEE DE L'ORANGERIE,EPA,2022,917
ETABLISSEMENT PUBLIC DU MUSEE D'ORSAY ET DU MUSEE DE L'ORANGERIE,EPA,2023,995
ETABLISSEMENT PUBLIC DU MUSEE DES ARTS ASIATIQUES GUIMET,EPA,2021,754
ETABLISSEMENT PUBLIC DU MUSEE DES ARTS ASIATIQUES GUIMET,EPA,2022,803
ETABLISSEMENT PUBLIC DU MUSEE DES ARTS ASIATIQUES GUIMET,EPA,2023,814
ETABLISSEMENT PUBLIC DU MUSEE DU LOUVRE,EPA,2021,1066
ETABLISSEMENT PUBLIC DU MUSEE DU LOUVRE,EPA,2022,1134
ETABLISSEMENT PUBLIC DU MUSEE DU LOUVRE,EPA,2023,1275
ETABLISSEMENT PUBLIC DU MUSEE DU QUAI BRANLY,EPA,2021,950
ETABLISSEMENT PUBLIC DU MUSEE DU QUAI BRANLY,EPA,2022,967
ETABLISSEMENT PUBLIC DU MUSEE DU QUAI BRANLY,EPA,2023,1037
ETABLISSEMENT PUBLIC DU MUSEE ET DU DOMAINE NATIONAL DE VERSAILLES,EPA,2021,1159
ETABLISSEMENT PUBLIC DU MUSEE ET DU DOMAINE NATIONAL DE VERSAILLES,EPA,2022,1223
ETABLISSEMENT PUBLIC DU MUSEE ET DU DOMAINE NATIONAL DE VERSAILLES,EPA,2023,1259
ETABLISSEMENT PUBLIC DU MUSEE NATIONAL JEAN JACQUES HENNER ET DU MUSEE NATIONAL GUSTAVE MOREAU,EPA,2021,480
ETABLISSEMENT PUBLIC DU MUSEE NATIONAL JEAN JACQUES HENNER ET DU MUSEE NATIONAL GUSTAVE MOREAU,EPA,2022,525
ETABLISSEMENT PUBLIC DU MUSEE NATIONAL JEAN JACQUES HENNER ET DU MUSEE NATIONAL GUSTAVE MOREAU,EPA,2023,506
ETABLISSEMENT PUBLIC DU PALAIS DE LA PORTE DOREE,EPA,2021,708
ETABLISSEMENT PUBLIC DU PALAIS DE LA PORTE DOREE,EPA,2022,788
ETABLISSEMENT PUBLIC DU PALAIS DE LA PORTE DOREE,EPA,2023,868
ETABLISSEMENT PUBLIC DU PARC ET DE LA GRANDE HALLE DE LA VILLETTE,EPIC,2021,937
ETABLISSEMENT PUBLIC DU PARC ET DE LA GRANDE HALLE DE LA VILLETTE,EPIC,2022,923
ETABLISSEMENT PUBLIC DU PARC ET DE LA GRANDE HALLE DE LA VILLETTE,EPIC,2023,907
FRANCE COMPETENCES,sui generis,2021,1248
FRANCE COMPETENCES,sui generis,2022,1149
FRANCE COMPETENCES,sui generis,2023,1184
FRANCE EDUCATION INTERNATIONAL,EPA,2021,828
FRANCE EDUCATION INTERNATIONAL,EPA,2022,844
FRANCE EDUCATION INTERNATIONAL,EPA,2023,798
France Travail,EPA,2021,1800
France Travail,EPA,2022,1805
France Travail,EPA,2023,1720
GENOPOLE,GIP,2021,914
GENOPOLE,GIP,2022,847
GENOPOLE,GIP,2023,865
GIP Les entreprises s’engagent,GIP,2021,0
GIP Les entreprises s’engagent,GIP,2022,1485
GIP Les entreprises s’engagent,GIP,2023,0
GIP Plateforme de l’inclusion,GIP,2021,0
GIP Plateforme de l’inclusion,GIP,2022,623
GIP Plateforme de l’inclusion,GIP,2023,738
GRANDE CHANCELLERIE DE LA LEGION D'HONNEUR,sui generis,2021,861
GRANDE CHANCELLERIE DE LA LEGION D'HONNEUR,sui generis,2022,898
GRANDE CHANCELLERIE DE LA LEGION D'HONNEUR,sui generis,2023,841
GROUPE DES ECOLES NATIONALES D'ECONOMIE ET DE STATISTIQUE,EPSCP,2021,1228
GROUPE DES ECOLES NATIONALES D'ECONOMIE ET DE STATISTIQUE,EPSCP,2022,0
GROUPE DES ECOLES NATIONALES D'ECONOMIE ET DE STATISTIQUE,EPSCP,2023,0
INSTITUT D ETUDES POLITIQUES - LILLE,EPA,2021,647
INSTITUT D ETUDES POLITIQUES - LILLE,EPA,2022,683
INSTITUT D ETUDES POLITIQUES - LILLE,EPA,2023,715
INSTITUT D'ADMINISTRATION DES ENTREPRISES DE PARIS,EPA,2021,725
INSTITUT D'ADMINISTRATION DES ENTREPRISES DE PARIS,EPA,2022,768
INSTITUT D'ADMINISTRATION DES ENTREPRISES DE PARIS,EPA,2023,809
INSTITUT D'ETUDES POLITIQUES - AIX EN PROVENCE,EPA,2021,747
INSTITUT D'ETUDES POLITIQUES - AIX EN PROVENCE,EPA,2022,716
INSTITUT D'ETUDES POLITIQUES - AIX EN PROVENCE,EPA,2023,787
INSTITUT D'ETUDES POLITIQUES - BORDEAUX,EPA,2021,696
INSTITUT D'ETUDES POLITIQUES - BORDEAUX,EPA,2022,737
INSTITUT D'ETUDES POLITIQUES - BORDEAUX,EPA,2023,767
INSTITUT D'ETUDES POLITIQUES - GRENOBLE,EPA,2021,673
INSTITUT D'ETUDES POLITIQUES - GRENOBLE,EPA,2022,705
INSTITUT D'ETUDES POLITIQUES - GRENOBLE,EPA,2023,751
INSTITUT D'ETUDES POLITIQUES - RENNES,EPA,2021,566
INSTITUT D'ETUDES POLITIQUES - RENNES,EPA,2022,597
INSTITUT D'ETUDES POLITIQUES - RENNES,EPA,2023,638
INSTITUT D'ETUDES POLITIQUES - TOULOUSE,EPA,2021,721
INSTITUT D'ETUDES POLITIQUES - TOULOUSE,EPA,2022,749
INSTITUT D'ETUDES POLITIQUES - TOULOUSE,EPA,2023,758
INSTITUT D'ETUDES POLITIQUES DE LYON,EPA,2021,683
INSTITUT D'ETUDES POLITIQUES DE LYON,EPA,2022,710
INSTITUT D'ETUDES POLITIQUES DE LYON,EPA,2023,738
INSTITUT D'ETUDES POLITIQUES DE PARIS -SCIENCES PO,EPSCP,2021,790
INSTITUT D'ETUDES POLITIQUES DE PARIS -SCIENCES PO,EPSCP,2022,832
INSTITUT D'ETUDES POLITIQUES DE PARIS -SCIENCES PO,EPSCP,2023,854
INSTITUT DE FORMATION DU PERSONNEL DU MINISTERE DE L'AGRICULTURE,EPA,2021,716
INSTITUT DE FORMATION DU PERSONNEL DU MINISTERE DE L'AGRICULTURE,EPA,2022,697
INSTITUT DE FORMATION DU PERSONNEL DU MINISTERE DE L'AGRICULTURE,EPA,2023,752
INSTITUT DE PHYSIQUE DU GLOBE DE PARIS,EPSCP,2021,840
INSTITUT DE PHYSIQUE DU GLOBE DE PARIS,EPSCP,2022,849
INSTITUT DE PHYSIQUE DU GLOBE DE PARIS,EPSCP,2023,861
INSTITUT DE RADIOPROTECTION ET DE SURETE NUCLEAIRE,EPIC,2021,1878
INSTITUT DE RADIOPROTECTION ET DE SURETE NUCLEAIRE,EPIC,2022,1611
INSTITUT DE RADIOPROTECTION ET DE SURETE NUCLEAIRE,EPIC,2023,1643
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT,EPST,2021,1047
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT,EPST,2022,1061
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT,EPST,2023,1071
INSTITUT DES HAUTES ETUDES POUR LA DEFENSE NATIONALE,EPA,2021,825
INSTITUT DES HAUTES ETUDES POUR LA DEFENSE NATIONALE,EPA,2022,890
INSTITUT DES HAUTES ETUDES POUR LA DEFENSE NATIONALE,EPA,2023,855
INSTITUT DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT AGRO PARIS TECH,EPSCP,2021,1757
INSTITUT DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT AGRO PARIS TECH,EPSCP,2022,1808
INSTITUT DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT AGRO PARIS TECH,EPSCP,2023,1180
L’ENVIRONNEMENT,EPSCP,2021,1515
L’ENVIRONNEMENT,EPSCP,2022,1602
L’ENVIRONNEMENT,EPSCP,2023,978
INSTITUT FRANCAIS DE RECHE RCHE POUR L'EXPLOITATION DE LA MER,EPIC,2021,1059
INSTITUT FRANCAIS DE RECHE RCHE POUR L'EXPLOITATION DE LA MER,EPIC,2022,1143
INSTITUT FRANCAIS DE RECHE RCHE POUR L'EXPLOITATION DE LA MER,EPIC,2023,1179
INSTITUT FRANCAIS DU CHEVAL ET DE L'EQUITATION,EPA,2021,1004
INSTITUT FRANCAIS DU CHEVAL ET DE L'EQUITATION,EPA,2022,978
INSTITUT FRANCAIS DU CHEVAL ET DE L'EQUITATION,EPA,2023,1044
INSTITUT FRANCAIS DU PETROLE ET DES ENERGIES NOUVELLES,EPIC,2021,1938
INSTITUT FRANCAIS DU PETROLE ET DES ENERGIES NOUVELLES,EPIC,2022,2021
INSTITUT FRANCAIS DU PETROLE ET DES ENERGIES NOUVELLES,EPIC,2023,2030
INSTITUT FRANCAIS,EPIC,2021,802
INSTITUT FRANCAIS,EPIC,2022,843
INSTITUT FRANCAIS,EPIC,2023,0
INSTITUT MINES TELECOM,EPSCP,2021,1757
INSTITUT MINES TELECOM,EPSCP,2022,1788
INSTITUT MINES TELECOM,EPSCP,2023,0
INSTITUT NATIONAL D' HISTOIRE DE L'ART,EPSCP,2021,689
INSTITUT NATIONAL D' HISTOIRE DE L'ART,EPSCP,2022,740
INSTITUT NATIONAL D' HISTOIRE DE L'ART,EPSCP,2023,772
"INSTITUT NATIONAL D'ENSEIGNEMENT SUPERIEUR POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT",EPSCP,2021,1624
"INSTITUT NATIONAL D'ENSEIGNEMENT SUPERIEUR POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT",EPSCP,2022,1680
"INSTITUT NATIONAL D'ENSEIGNEMENT SUPERIEUR POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT",EPSCP,2023,1081
INSTITUT NATIONAL D'ETUDES DEMOGRAPHIQUES,EPST,2021,785
INSTITUT NATIONAL D'ETUDES DEMOGRAPHIQUES,EPST,2022,824
INSTITUT NATIONAL D'ETUDES DEMOGRAPHIQUES,EPST,2023,798
INSTITUT NATIONAL DE L'ENVIRONNEMENT INDUSTRIEL ET DES RISQUES,EPIC,2021,1090
INSTITUT NATIONAL DE L'ENVIRONNEMENT INDUSTRIEL ET DES RISQUES,EPIC,2022,1118
INSTITUT NATIONAL DE L'ENVIRONNEMENT INDUSTRIEL ET DES RISQUES,EPIC,2023,1140
INSTITUT NATIONAL DE L'INFORMATION GEOGRAPHIQUE ET FORESTIERE,EPA,2021,1345
INSTITUT NATIONAL DE L'INFORMATION GEOGRAPHIQUE ET FORESTIERE,EPA,2022,1416
INSTITUT NATIONAL DE L'INFORMATION GEOGRAPHIQUE ET FORESTIERE,EPA,2023,1437
INSTITUT NATIONAL DE L'ORIGINE ET DE LA QUALI TE,EPA,2021,892
INSTITUT NATIONAL DE L'ORIGINE ET DE LA QUALI TE,EPA,2022,747
INSTITUT NATIONAL DE L'ORIGINE ET DE LA QUALI TE,EPA,2023,853
INSTITUT NATIONAL DE LA PROPRIETE INDUSTRIELLE,EPA,2021,1265
INSTITUT NATIONAL DE LA PROPRIETE INDUSTRIELLE,EPA,2022,0
INSTITUT NATIONAL DE LA PROPRIETE INDUSTRIELLE,EPA,2023,0
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,EPST,2021,1281
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,EPST,2022,1270
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,EPST,2023,1274
INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE,EPST,2021,1510
INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE,EPST,2022,1451
INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE,EPST,2023,1513
INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT,EPST,2021,1281
INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT,EPST,2022,1317
INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT,EPST,2023,1316
INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES,EPA,2021,1000
INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES,EPA,2022,1054
INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES,EPA,2023,1110
INSTITUT NATIONAL DES LANGUES ET CIVILISATIONS ORIENTALES,EPSCP,2021,804
INSTITUT NATIONAL DES LANGUES ET CIVILISATIONS ORIENTALES,EPSCP,2022,826
INSTITUT NATIONAL DES LANGUES ET CIVILISATIONS ORIENTALES,EPSCP,2023,851
INSTITUT NATIONAL DES SCIENCES APPLIQUEES CENTRE VAL DE LOIRE,EPSCP,2021,827
INSTITUT NATIONAL DES SCIENCES APPLIQUEES CENTRE VAL DE LOIRE,EPSCP,2022,887
INSTITUT NATIONAL DES SCIENCES APPLIQUEES CENTRE VAL DE LOIRE,EPSCP,2023,908
INSTITUT NATIONAL DES SCIENCES APPLIQUEES HAUTS -DE-FRANCE,EPSCP,2021,907
INSTITUT NATIONAL DES SCIENCES APPLIQUEES HAUTS -DE-FRANCE,EPSCP,2022,968
INSTITUT NATIONAL DES SCIENCES APPLIQUEES HAUTS -DE-FRANCE,EPSCP,2023,1033
INSTITUT NATIONAL DES SCIENCES APPLIQUEES LYON,EPSCP,2021,914
INSTITUT NATIONAL DES SCIENCES APPLIQUEES LYON,EPSCP,2022,956
INSTITUT NATIONAL DES SCIENCES APPLIQUEES LYON,EPSCP,2023,972
INSTITUT NATIONAL DES SCIENCES APPLIQUEES RENNES,EPSCP,2021,843
INSTITUT NATIONAL DES SCIENCES APPLIQUEES RENNES,EPSCP,2022,885
INSTITUT NATIONAL DES SCIENCES APPLIQUEES RENNES,EPSCP,2023,918
INSTITUT NATIONAL DES SCIENCES APPLIQUEES ROUEN,EPSCP,2021,852
INSTITUT NATIONAL DES SCIENCES APPLIQUEES ROUEN,EPSCP,2022,877
INSTITUT NATIONAL DES SCIENCES APPLIQUEES ROUEN,EPSCP,2023,911
INSTITUT NATIONAL DES SCIENCES APPLIQUEES STRASBOURG,EPSCP,2021,862
INSTITUT NATIONAL DES SCIENCES APPLIQUEES STRASBOURG,EPSCP,2022,836
INSTITUT NATIONAL DES SCIENCES APPLIQUEES STRASBOURG,EPSCP,2023,930
INSTITUT NATIONAL DES SCIENCES APPLIQUEES TOULOUSE,EPSCP,2021,855
INSTITUT NATIONAL DES SCIENCES APPLIQUEES TOULOUSE,EPSCP,2022,884
INSTITUT NATIONAL DES SCIENCES APPLIQUEES TOULOUSE,EPSCP,2023,916
INSTITUT NATIONAL DU CANCER,GIP,2021,959
INSTITUT NATIONAL DU CANCER,GIP,2022,974
INSTITUT NATIONAL DU CANCER,GIP,2023,1015
INSTITUT NATIONAL DU PATRIMOINE,EPA,2021,705
INSTITUT NATIONAL DU PATRIMOINE,EPA,2022,732
INSTITUT NATIONAL DU PATRIMOINE,EPA,2023,784
INSTITUT NATIONAL DU SPORT DE L EXPERTISE ET DE LA PERFORMANCE,EPSCP,2021,910
INSTITUT NATIONAL DU SPORT DE L EXPERTISE ET DE LA PERFORMANCE,EPSCP,2022,865
INSTITUT NATIONAL DU SPORT DE L EXPERTISE ET DE LA PERFORMANCE,EPSCP,2023,937
INSTITUT NATIONAL DU TRAVAIL DE L'EMPLOI ET DE LA FORMATION PROFESSIONNELLE,EPA,2021,724
INSTITUT NATIONAL DU TRAVAIL DE L'EMPLOI ET DE LA FORMATION PROFESSIONNELLE,EPA,2022,764
INSTITUT NATIONAL DU TRAVAIL DE L'EMPLOI ET DE LA FORMATION PROFESSIONNELLE,EPA,2023,807
INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE,EPSCP,2021,909
INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE,EPSCP,2022,907
INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE,EPSCP,2023,948
ENSEIGNEMENTS ADAPTES,EPA,2021,625
ENSEIGNEMENTS ADAPTES,EPA,2022,628
ENSEIGNEMENTS ADAPTES,EPA,2023,663
INSTITUT NATIONAL UNIVERSITAIRE JEAN -FRANCOIS CHAMPOLLION,EPSCP,2021,712
INSTITUT NATIONAL UNIVERSITAIRE JEAN -FRANCOIS CHAMPOLLION,EPSCP,2022,729
INSTITUT NATIONAL UNIVERSITAIRE JEAN -FRANCOIS CHAMPOLLION,EPSCP,2023,796
INSTITUT POLAIRE FRANCAIS PAUL -EMILE VICTOR,GIP,2021,578
INSTITUT POLAIRE FRANCAIS PAUL -EMILE VICTOR,GIP,2022,597
INSTITUT POLAIRE FRANCAIS PAUL -EMILE VICTOR,GIP,2023,669
INSTITUT POLYTECHNIQUE DE BORDEAUX,EPSCP,2021,791
INSTITUT POLYTECHNIQUE DE BORDEAUX,EPSCP,2022,816
INSTITUT POLYTECHNIQUE DE BORDEAUX,EPSCP,2023,845
INSTITUT POLYTECHNIQUE DE GRENOBLE,EPSCP,2021,918
INSTITUT POLYTECHNIQUE DE GRENOBLE,EPSCP,2022,958
INSTITUT POLYTECHNIQUE DE GRENOBLE,EPSCP,2023,983
INSTITUT POLYTECHNIQUE DE PARIS,EPSCP,2021,601
INSTITUT POLYTECHNIQUE DE PARIS,EPSCP,2022,712
INSTITUT POLYTECHNIQUE DE PARIS,EPSCP,2023,753
INSTITUT REGIONAL D'ADMINISTRATION - BASTIA,EPA,2021,635
INSTITUT REGIONAL D'ADMINISTRATION - BASTIA,EPA,2022,703
INSTITUT REGIONAL D'ADMINISTRATION - BASTIA,EPA,2023,702
INSTITUT REGIONAL D'ADMINISTRATION - LILLE,EPA,2021,539
INSTITUT REGIONAL D'ADMINISTRATION - LILLE,EPA,2022,577
INSTITUT REGIONAL D'ADMINISTRATION - LILLE,EPA,2023,613
INSTITUT REGIONAL D'ADMINISTRATION - LYON,EPA,2021,583
INSTITUT REGIONAL D'ADMINISTRATION - LYON,EPA,2022,624
INSTITUT REGIONAL D'ADMINISTRATION - LYON,EPA,2023,680
INSTITUT REGIONAL D'ADMINISTRATION - METZ,EPA,2021,578
INSTITUT REGIONAL D'ADMINISTRATION - METZ,EPA,2022,625
INSTITUT REGIONAL D'ADMINISTRATION - METZ,EPA,2023,658
INSTITUT REGIONAL D'ADMINISTRATION - NANTES,EPA,2021,562
INSTITUT REGIONAL D'ADMINISTRATION - NANTES,EPA,2022,525
INSTITUT REGIONAL D'ADMINISTRATION - NANTES,EPA,2023,561
INSTITUT SUPERIEUR DE L AERONAUTIQUE ET DE L ESPACE,EPSCP,2021,836
